round	timestamp	metric_before	metric_after	delta	status	description	commit
0	2026-04-01T00:00:00Z	98 clones, 829l/8828t (3.3%)	-	-	baseline	Initial jscpd baseline measurement	-
1	2026-04-01T00:30:00Z	98 clones, 829l/8828t (3.3%)	97 clones, 811l/8659t (3.3%)	-18l, -1 clone, -0.0%	keep	LLM: extract Message::to_json_values() in llm/mod.rs	c0f7c88
2	2026-04-01T01:00:00Z	97 clones, 811l/8659t (3.3%)	95 clones, 789l/8468t (3.2%)	-22l, -2 clones, -0.1%	keep	Embedder: extract http_post_json helper in OllamaEmbedder	149d981
3	2026-04-01T01:30:00Z	95 clones, 789l/8468t (3.2%)	92 clones, 774l/8228t (3.1%)	-15l, -3 clones, -0.1%	keep	Relations: add test_store_with_chunks() helper, refactor 4 tests	9dbc667
4	2026-04-01T02:00:00Z	92 clones, 774l/8228t (3.1%)	92 clones, 763l/8064t (3.1%)	-11l, same clones, -0.0%	keep	Sync: add test_chunk/test_chunk_with_perspectives helpers	b804287
5	2026-04-01T02:30:00Z	92 clones, 763l/8064t (3.1%)	71 clones, 587l/6329t (2.37%)	-176l, -21 clones, -0.73%	keep	Resources: extract format_entries_list helper to dedupe recent/perspective listing	4eda252
6	2026-04-01T03:00:00Z	71 clones, 587l/6329t (2.37%)	70 clones, 573l/6193t (2.31%)	-14l, -1 clone, -0.06%	keep	Resources: extract list_filtered_entries helper	4c4dc2b
7	2026-04-01T03:30:00Z	70 clones, 561l/6018t (2.26%)	62 clones, 489l/5373t (1.98%)	-72l, -8 clones, -0.28%	keep	LLM: extract make_standard_http_client to dedupe reqwest client setup	fb2355f
8	2026-04-01T04:00:00Z	62 clones, 489l/5373t (1.98%)	61 clones, 479l/5278t (1.94%)	-10l, -1 clone, -0.04%	keep	Resources: extract read_test helper to dedupe TempDir+open_metadata+read pattern	a4c6e1c
9	2026-04-01T23:17:00Z	61 clones, 479l/5278t (1.94%)	57 clones, 442l/4962t (1.79%)	-37l, -4 clones, -0.15%	keep	Mcp/handler+http: extract impl_tool_context macro to eliminate 13-line clone	3642064
10	2026-04-01T23:24:00Z	57 clones, 442l/4962t (1.79%)	56 clones, 434l/4884t (1.76%)	-8l, -1 clone, -0.03%	keep	Mcp/embed_worker: extract make_pending_chunks helper	8c601f3
